Importer,Category,Import Value
4,Wheat or meslin flour,826015.8
4,Cigarettes,592746.706
4,Vegetable oils,397337.458
4,Cereals,341010.703
4,"Fabrics, woven",323095.635
8,"Petroleum oils and oils from bituminous minerals, not crude",926704.9870000001
8,Vehicles,573911.691
8,Iron or non-alloy steel,369285.885
8,Medicaments,216839.14800000002
8,"Fabrics, woven",200566.468
12,Cereals,2486918.895
12,Vehicles,2485795.945
12,Dairy produce,1177295.494
12,Machinery,1002042.978
12,Iron or non-alloy steel,996766.182
16,"Petroleum oils and oils from bituminous minerals, not crude",70674.158
16,Fish,35497.856999999996
16,Meat,3639.263
16,Dairy produce,3629.437
16,Paper and paperboard,3434.27
20,Vehicles,226590.259
20,"Petroleum oils and oils from bituminous minerals, not crude",122838.208
20,Food preparations,60908.98
20,Perfumes and toilet waters,58161.492000000006
20,Electrical energy,44858.04
24,"Petroleum oils and oils from bituminous minerals, not crude",809616.032
24,Vehicles,630156.524
24,Machinery,410392.597
24,Iron or steel,330015.218
24,Cereals,315902.19299999997
28,"Petroleum oils and oils from bituminous minerals, not crude",648034.884
28,Motorboats,109076.352
28,Vessels,87586.427
28,Vehicles,41717.555
28,Iron or steel,24174.688
31,Vehicles,1981979.79
31,Oils,1132895.186
31,"Petroleum oils and oils from bituminous minerals, not crude",539522.211
31,Iron or non-alloy steel,415322.094
31,Medicaments,403793.793
32,Soya beans,5404281.603
32,"Petroleum oils and oils from bituminous minerals, not crude",3762086.35
32,Vehicles,3374167.688
32,Vehicle parts,2238023.5609999998
32,Engines,1781653.025
36,Vehicles,37799484.874
36,"Petroleum oils and oils from bituminous minerals, not crude",37040205.241
36,Metals,6419393.933
36,Medicaments,5701511.082
36,Oils,5173523.315
40,Vehicles,14970445.492999999
40,"Blood, human or animal, antisera, other blood fractions and immunological products",6287075.018
40,"Petroleum oils and oils from bituminous minerals, not crude",5844435.894
40,Aluminium,5193918.982
40,Plastics,4717420.836
44,"Petroleum oils and oils from bituminous minerals, not crude",3357678.154
44,"Aeroplanes and other aircraft, except unmanned",722299.075
44,Motorboats,349183.29400000005
44,Vehicles,285832.35000000003
44,Vessels,187408.43300000002
48,Iron ores and concentrates,1398816.044
48,Vehicles,1249744.732
48,Aluminium oxide,1171635.689
48,Jewellery,814276.363
48,Metals,604101.009
50,"Petroleum oils and oils from bituminous minerals, not crude",6929059.538
